ID_Nodo,Latitud,Longitud,Calle_A,Calle_B,Nombre_Esquina
3795842739,-24.7952045,-65.3940059,Avenida La Cumbre,Mariano Boedo,Avenida La Cumbre y Mariano Boedo
3795851458,-24.7948144,-65.3934514,Avenida La Cumbre,El Mirador,Avenida La Cumbre y El Mirador
3795863979,-24.7946205,-65.3969108,Mariano Boedo,Pedro Sidney Tamayo,Mariano Boedo y Pedro Sidney Tamayo
3898171956,-24.7818526,-65.4010978,Avenida Antonio Fernández Cornejo,Avenida Uruguay,Avenida Antonio Fernández Cornejo y Avenida Uruguay
3898506276,-24.7944636,-65.3929805,13 de Julio,Avenida La Cumbre,13 de Julio y Avenida La Cumbre
3902947989,-24.7747168,-65.4010548,Avenida Reyes Católicos,Avenida del Bicentenario de la Batalla de Salta,Avenida Reyes Católicos y Avenida del Bicentenario de la Batalla de Salta
3903119236,-24.7691024,-65.4031196,Avenida Juan B. Justo,Doctor Miguel Ortiz,Avenida Juan B. Justo y Doctor Miguel Ortiz
3903119237,-24.7683754,-65.4032113,Avenida Juan B. Justo,Los Pacarás,Avenida Juan B. Justo y Los Pacarás
3903488897,-24.7704064,-65.4214479,General Juan Antonio Álvarez de Arenales,Martín Cornejo,General Juan Antonio Álvarez de Arenales y Martín Cornejo
3904649604,-24.7754434,-65.4012751,12 de Octubre,Avenida Uruguay,12 de Octubre y Avenida Uruguay
3954626667,-24.7875427,-65.4247047,España,Rudecindo Ibazeta,España y Rudecindo Ibazeta
3954626668,-24.789096,-65.4304022,Doctor Federico Ibarguren,Talcahuano,Doctor Federico Ibarguren y Talcahuano
3954626672,-24.7985743,-65.4256528,Metán,San Carlos,Metán y San Carlos
